WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2019-08-05 00:00:00.000,0,0,0,0,0,0,0,0,3493
2019-11-18 00:00:00.000,0,0,0,0,0,0,0,0,3051
2020-05-04 00:00:00.000,6,0,28,0,2,0,3,0,35
2020-04-13 00:00:00.000,0,0,0,0,0,0,0,0,2045
2019-06-17 00:00:00.000,1,0,0,0,1,0,0,0,197
2020-02-24 00:00:00.000,0,0,0,0,0,0,0,0,2045
2020-07-06 00:00:00.000,0,0,0,0,0,0,0,0,4906
2020-04-27 00:00:00.000,1,10,0,0,1,1,0,0,2544
2020-01-13 00:00:00.000,162,14,1,0,3,3,1,0,2770
2020-06-08 00:00:00.000,253,0,0,0,5,0,0,0,157
2019-11-04 00:00:00.000,1,0,0,0,1,0,0,0,182
2020-01-06 00:00:00.000,0,0,0,0,0,0,0,0,4455
2019-04-22 00:00:00.000,0,0,0,0,0,0,0,0,144
2019-11-11 00:00:00.000,0,0,0,0,0,0,0,0,3647
2019-07-15 00:00:00.000,833,0,491,0,5,0,9,0,58
2020-02-03 00:00:00.000,1,0,0,0,1,0,0,0,396
2020-05-25 00:00:00.000,4,1,19,0,1,1,3,0,143
2019-11-04 00:00:00.000,0,0,0,0,0,0,0,0,4972
2019-09-02 00:00:00.000,0,0,0,0,0,0,0,0,1606
2019-10-28 00:00:00.000,1,0,0,0,1,0,0,0,1897
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,2535
2019-09-09 00:00:00.000,11,20,1,0,1,2,1,0,135
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,3959
2019-03-18 00:00:00.000,6294,2,0,0,10,1,0,0,39
2019-06-03 00:00:00.000,0,0,0,0,0,0,0,0,188
2020-02-24 00:00:00.000,1,0,0,3,1,0,0,1,2
2019-11-04 00:00:00.000,0,0,0,0,0,0,0,0,4689
2019-07-15 00:00:00.000,17,28,9,0,4,3,3,0,102
2019-04-29 00:00:00.000,0,0,0,0,0,0,0,0,2293
2019-11-11 00:00:00.000,0,0,0,0,0,0,0,0,1813
2019-04-08 00:00:00.000,0,0,0,0,0,0,0,0,2165
2020-05-04 00:00:00.000,0,0,0,0,0,0,0,0,2444
2020-03-09 00:00:00.000,1,0,0,0,1,0,0,0,1682
2020-03-23 00:00:00.000,381,291,66,0,9,4,7,0,164
2019-08-26 00:00:00.000,92,15,160,1,7,4,6,1,174
2020-07-20 00:00:00.000,73,1,21,0,1,1,1,0,4787
2019-07-15 00:00:00.000,11,0,1,0,2,0,1,0,2911
2019-12-23 00:00:00.000,0,0,0,0,0,0,0,0,1522
2020-07-20 00:00:00.000,16,3,31,0,4,2,7,0,3608
2020-02-24 00:00:00.000,1,0,0,0,1,0,0,0,5108
2019-05-27 00:00:00.000,0,0,0,0,0,0,0,0,80
2020-02-03 00:00:00.000,73,0,0,0,1,0,0,0,1554
2019-05-27 00:00:00.000,0,0,0,0,0,0,0,0,969
2019-09-02 00:00:00.000,0,0,0,0,0,0,0,0,102
2019-10-28 00:00:00.000,0,0,3,0,0,0,1,0,3444
2020-05-18 00:00:00.000,97,8,19,0,5,3,3,0,1
2019-08-05 00:00:00.000,49,56,23,0,3,4,3,0,79
2019-04-08 00:00:00.000,0,0,0,0,0,0,0,0,982
2020-01-06 00:00:00.000,1,2,0,0,1,1,0,0,4129
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,5055
2019-03-18 00:00:00.000,2,0,2,0,1,0,1,0,15
2019-08-12 00:00:00.000,0,0,0,0,0,0,0,0,3971
2020-05-25 00:00:00.000,94,12,12,1,4,2,4,1,2813
2019-12-30 00:00:00.000,0,0,0,0,0,0,0,0,7
2019-03-25 00:00:00.000,4,0,8,0,2,0,1,0,2166
2020-03-02 00:00:00.000,1,1,1,0,1,1,1,0,4949
2020-04-06 00:00:00.000,55,6,6,0,3,4,3,0,5
2020-07-20 00:00:00.000,31,0,78,0,1,0,1,0,4200
2020-07-20 00:00:00.000,1,0,8,0,1,0,2,0,1278
2020-06-22 00:00:00.000,81,0,1,0,3,0,1,0,2360
2019-02-18 00:00:00.000,182,3,16,1,3,1,1,1,2
2019-05-13 00:00:00.000,0,0,0,0,0,0,0,0,4412
2020-07-13 00:00:00.000,1458,1313,2,13,19,17,2,3,187
2019-08-05 00:00:00.000,308,591,131,2,16,16,18,2,167
2020-06-29 00:00:00.000,109,0,0,0,9,0,0,0,3505
2020-05-18 00:00:00.000,0,0,3,0,0,0,1,0,2446
2019-10-07 00:00:00.000,2,5,0,0,1,1,0,0,3503
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,646
2019-12-23 00:00:00.000,0,0,3,0,0,0,1,0,3903
2019-08-19 00:00:00.000,765,4,25,7,6,2,3,3,50
2019-08-19 00:00:00.000,0,0,0,0,0,0,0,0,702
2019-12-02 00:00:00.000,35,6,24,0,2,1,2,0,4988
2019-12-16 00:00:00.000,5,0,0,0,1,0,0,0,163
2020-02-03 00:00:00.000,66,30,10,2,5,3,4,1,103
2020-03-30 00:00:00.000,0,0,0,0,0,0,0,0,74
2019-03-04 00:00:00.000,6241,0,5,27,12,0,4,3,39
2019-11-04 00:00:00.000,0,0,5,0,0,0,1,0,2476
2020-06-29 00:00:00.000,40,23,323,1,16,13,40,1,200
2020-04-06 00:00:00.000,57,0,205,3,5,0,6,1,2813
2019-06-03 00:00:00.000,0,0,0,0,0,0,0,0,2898
2020-07-20 00:00:00.000,131,3,0,0,1,1,0,0,2230
2019-12-09 00:00:00.000,234,379,93,3,16,15,14,1,167
2019-12-09 00:00:00.000,5,0,0,0,1,0,0,0,699
2020-05-04 00:00:00.000,1,0,0,0,1,0,0,0,3120
2019-06-10 00:00:00.000,21,2,0,0,1,1,0,0,2924
